0.1 -0 -2.30259
0.166333 -0 -1.79376 0
0.232667 -0 -1.45815 0
0.299 -0 -1.20731 0
0.365333 -0 -1.00695 0
0.431667 -0 -0.840102 0
0.498 -0 -0.697155 0
0.564333 -0 -0.57211 0
0.630667 -0 -0.460978 0
0.697 -0 -0.36097 0
0.763333 -0 -0.27006 0
0.829667 -0 -0.186731 0
0.896 -0 -0.109815 0
0.962333 -0 -0.0383944 0
1.02867 0 0.0282635 0
1.095 0 0.0907544 0
1.16133 0 0.149569 0
1.22767 0 0.205115 0
1.294 0 0.257738 0
1.36033 0 0.30773 0
1.42667 0 0.355341 0
1.493 0 0.400788 0
1.55933 0 0.444258 0
1.62567 0 0.485918 0
1.692 0 0.525911 0
1.75833 0 0.564366 0
1.82467 0 0.601397 0
1.891 0 0.637106 0
1.95733 0 0.671583 0
2.02367 0 0.704911 0
2.09 0 0.737164 0
2.15633 0 0.768409 0
2.22267 0 0.798708 0
2.289 0 0.828115 0
2.35533 0 0.856682 0
2.42167 0 0.884456 0
2.488 0 0.911479 0
2.55433 0 0.937791 0
2.62067 0 0.963429 0
2.687 0 0.988425 0
2.75333 0 1.01281 0
2.81967 0 1.03662 0
2.886 0 1.05987 0
2.95233 0 1.0826 0
3.01867 0 1.10482 0
3.085 0 1.12655 0
3.15133 0 1.14783 0
3.21767 0 1.16866 0
3.284 0 1.18906 0
3.35033 0 1.20906 0
3.41667 0 1.22867 0
3.483 0 1.24789 0
3.54933 0 1.26676 0
3.61567 0 1.28528 0
3.682 0 1.30346 0
3.74833 0 1.32131 0
3.81467 0 1.33885 0
3.881 0 1.35609 0
3.94733 0 1.37304 0
4.01367 0 1.38971 0
4.08 0 1.4061 0
4.14633 0 1.42222 0
4.21267 0 1.4381 0
4.279 0 1.45372 0
4.34533 0 1.4691 0
4.41167 0 1.48425 0
4.478 0 1.49918 0
4.54433 0 1.51388 0
4.61067 0 1.52837 0
4.677 0 1.54266 0
4.74333 0 1.55674 0
4.80967 0 1.57063 0
4.876 0 1.58433 0
4.94233 0 1.59784 0
5.00867 0 1.61117 0
5.075 0 1.62433 0
5.14133 0 1.63731 0
5.20767 0 1.65013 0
5.274 0 1.66279 0
5.34033 0 1.67529 0
5.40667 0 1.68763 0
5.473 0 1.69983 0
5.53933 0 1.71187 0
5.60567 0 1.72378 0
5.672 0 1.73554 0
5.73833 0 1.74717 0
5.80467 0 1.75866 0
5.871 0 1.77002 0
5.93733 0 1.78126 0
6.00367 0 1.79237 0
6.07 0 1.80336 0
6.13633 0 1.81423 0
6.20267 0 1.82498 0
6.269 0 1.83562 0
6.33533 0 1.84614 0
6.40167 0 1.85656 0
6.468 0 1.86687 0
6.53433 0 1.87707 0
6.60067 0 1.88717 0
6.667 0 1.89717 0
6.73333 0 1.90707 0
6.79967 0 1.91687 0
6.866 0 1.92658 0
6.93233 0 1.9362 0
6.99867 0 1.94572 0
7.065 0 1.95515 0
7.13133 0 1.9645 0
7.19767 0 1.97376 0
7.264 0 1.98293 0
7.33033 0 1.99202 0
7.39667 0 2.00103 0
7.463 0 2.00996 0
7.52933 0 2.01881 0
7.59567 0 2.02758 0
7.662 0 2.03627 0
7.72833 0 2.04489 0
7.79467 0 2.05344 0
7.861 0 2.06191 0
7.92733 0 2.07032 0
7.99367 0 2.07865 0
8.06 0 2.08691 0
8.12633 0 2.09511 0
8.19267 0 2.10324 0
8.259 0 2.1113 0
8.32533 0 2.1193 0
8.39167 0 2.12724 0
8.458 0 2.13511 0
8.52433 0 2.14292 0
8.59067 0 2.15068 0
8.657 0 2.15837 0
8.72333 0 2.166 0
8.78967 0 2.17358 0
8.856 0 2.1811 0
8.92233 0 2.18856 0
8.98867 0 2.19596 0
9.055 0 2.20332 0
9.12133 0 2.21062 0
9.18767 0 2.21786 0
9.254 0 2.22506 0
9.32033 0 2.2322 0
9.38667 0 2.23929 0
9.453 0 2.24633 0
9.51933 0 2.25332 0
9.58567 0 2.26027 0
9.652 0 2.26717 0
9.71833 0 2.27401 0
9.78467 0 2.28082 0
9.851 0 2.28757 0
9.91733 0 2.29428 0
9.98367 0 2.30095 0
10.05 0 2.30757 0
10.1163 0 2.31415 0
10.1827 0 2.32069 0
10.249 0 2.32718 0
10.3153 0 2.33363 0
10.3817 0 2.34004 0
10.448 0 2.34641 0
10.5143 0 2.35274 0
10.5807 0 2.35903 0
10.647 0 2.36528 0
10.7133 0 2.37149 0
10.7797 0 2.37766 0
10.846 0 2.3838 0
10.9123 0 2.38989 0
10.9787 0 2.39595 0
11.045 0 2.40198 0
11.1113 0 2.40797 0
11.1777 0 2.41392 0
11.244 0 2.41983 0
11.3103 0 2.42572 0
11.3767 0 2.43156 0
11.443 0 2.43738 0
11.5093 0 2.44316 0
11.5757 0 2.44891 0
11.642 0 2.45462 0
11.7083 0 2.4603 0
11.7747 0 2.46595 0
11.841 0 2.47157 0
11.9073 0 2.47715 0
11.9737 0 2.48271 0
12.04 0 2.48823 0
12.1063 0 2.49373 0
12.1727 0 2.49919 0
12.239 0 2.50463 0
12.3053 0 2.51003 0
12.3717 0 2.51541 0
12.438 0 2.52076 0
12.5043 0 2.52608 0
12.5707 0 2.53137 0
12.637 0 2.53663 0
12.7033 0 2.54186 0
12.7697 0 2.54707 0
12.836 0 2.55225 0
12.9023 0 2.55741 0
12.9687 0 2.56254 0
13.035 0 2.56764 0
13.1013 0 2.57271 0
13.1677 0 2.57776 0
13.234 0 2.58279 0
13.3003 0 2.58779 0
13.3667 0 2.59276 0
13.433 0 2.59771 0
13.4993 0 2.60264 0
13.5657 0 2.60754 0
13.632 0 2.61242 0
13.6983 0 2.61727 0
13.7647 0 2.6221 0
13.831 0 2.62691 0
13.8973 0 2.6317 0
13.9637 0 2.63646 0
14.03 0 2.6412 0
14.0963 0 2.64591 0
14.1627 0 2.65061 0
14.229 0 2.65528 0
14.2953 0 2.65993 0
14.3617 0 2.66456 0
14.428 0 2.66917 0
14.4943 0 2.67376 0
14.5607 0 2.67832 0
14.627 0 2.68287 0
14.6933 0 2.68739 0
14.7597 0 2.6919 0
14.826 0 2.69638 0
14.8923 0 2.70085 0
14.9587 0 2.70529 0
15.025 0 2.70972 0
15.0913 0 2.71412 0
15.1577 0 2.71851 0
15.224 0 2.72287 0
15.2903 0 2.72722 0
15.3567 0 2.73155 0
15.423 0 2.73586 0
15.4893 0 2.74015 0
15.5557 0 2.74442 0
15.622 0 2.74868 0
15.6883 0 2.75292 0
15.7547 0 2.75714 0
15.821 0 2.76134 0
15.8873 0 2.76552 0
15.9537 0 2.76969 0
16.02 0 2.77384 0
16.0863 0 2.77797 0
16.1527 0 2.78209 0
16.219 0 2.78618 0
16.2853 0 2.79026 0
16.3517 0 2.79433 0
16.418 0 2.79838 0
16.4843 0 2.80241 0
16.5507 0 2.80643 0
16.617 0 2.81043 0
16.6833 0 2.81441 0
16.7497 0 2.81838 0
16.816 0 2.82233 0
16.8823 0 2.82627 0
